link,,title,,price,,old_price,,note,
https://link.amazon/B07w6qGoY,",",Bayara Snacks Mixed Nuts 300 Grams,",",15.5,",",23.15,",",33% OFF,"https://link.amazon/B07w6qGoY,Bayara Snacks Mixed Nuts 300 Grams,15.5,23.15,33% OFF"
https://link.amazon/B09epq4RB,",",Folding Treadmill with 16% Incline,",",699,",",900,",",22% OFF,"https://link.amazon/B09epq4RB,Folding Treadmill with 16% Incline,699,900,22% OFF"
https://link.amazon/B0adr6qVG,",",Lake Water Bottle 6 x 1.5 Litre,",",5.36,",",9,",",Limited time deal,"https://link.amazon/B0adr6qVG,Lake Water Bottle 6 x 1.5 Litre,5.36,9,Limited time deal"
https://link.amazon/B0fhVuM78,",",Aegend Swim Goggles  Swimming Goggles No Leaking Adult Men Women Youth  Aqua  UK-02-0016-1,",",23.29,",",55,",",Limited time deal,"https://link.amazon/B0fhVuM78,Aegend Swim Goggles  Swimming Goggles No Leaking Adult Men Women Youth  Aqua  UK-02-0016-1,23.29,55,Limited time deal"
https://link.amazon/B0c1JA6Gs,",",Xiaomi Smart Band 10 Midnight Black | 1.72''AMOLED Narrow-edge Quadrilateral Display | Professional Workout Analysis | Up to 21-days Battery Life,",",159,",",,",",Best Seller Deal,"https://link.amazon/B0c1JA6Gs,Xiaomi Smart Band 10 Midnight Black | 1.72''AMOLED Narrow-edge Quadrilateral Display | Professional Workout Analysis | Up to 21-days Battery Life,159,,Best Seller Deal"
https://link.amazon/B03s2faRe,",",Official Adidas Trionda 2026 World Cup Ball,",",75,",",,",",Hot Deal,"https://link.amazon/B03s2faRe,Official Adidas Trionda 2026 World Cup Ball,75,,Hot Deal"
https://link.amazon/B0emLKMOK,",",SKY-TOUCH Yoga Mat Non Slip Yoga Mat with Strap,",",27.5,",",30,",",Best Seller Deal,"https://link.amazon/B0emLKMOK,SKY-TOUCH Yoga Mat Non Slip Yoga Mat with Strap,27.5,30,Best Seller Deal"
https://link.amazon/B091qwxxr,",",PROIRON Neoprene Dumbbells Weights Exercise & Fitness Dumbbells in 1kg 1.5kg 2kg 3kg 4kg 5kg 8kg 10kg Pair,",",148,",",,",",Best in class,"https://link.amazon/B091qwxxr,PROIRON Neoprene Dumbbells Weights Exercise & Fitness Dumbbells in 1kg 1.5kg 2kg 3kg 4kg 5kg 8kg 10kg Pair,148,,Best in class"
https://link.amazon/B0eZKTbWT,",",Razer BlackShark V2 X Gaming Headset,",",127,",",269,",",53% OFF,"https://link.amazon/B0eZKTbWT,Razer BlackShark V2 X Gaming Headset,127,269,53% OFF"
https://link.amazon/B08ZrOFu8,",",medicube Salmon DNA PDRN pink collagen jelly gel mask | overnight face mask for glass glow skin- elasticity,",",41.8,",",80,",",58% OFF,"https://link.amazon/B08ZrOFu8,medicube Salmon DNA PDRN pink collagen jelly gel mask | overnight face mask for glass glow skin- elasticity,41.8,80,58% OFF"
